musteri_id,yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
1001,56,30349,39,7,Ankara,Standard,1
1002,37,89710,15,3,Antalya,Premium,0
1003,32,100021,11,7,Ankara,Standard,1
1004,60,90372,21,4,Istanbul,Premium,0
1005,25,70830,51,2,Istanbul,VIP,0
1006,38,32378,19,5,İzmir,Standard,1
1007,36,102983,23,2,Antalya,Standard,0
1008,36,60927,11,4,Bursa,Premium,0
1009,28,91377,24,7,Bursa,Standard,1
1010,41,118431,53,1,Ankara,VIP,0
1011,20,19280,2,8,İzmir,Standard,1
1012,57,45120,48,0,Istanbul,Premium,0
1013,49,82300,6,9,Antalya,Standard,1
1014,31,63400,33,1,Bursa,Premium,0
1015,22,27500,8,6,Ankara,Standard,1
1016,45,110200,42,2,Istanbul,VIP,0
1017,53,54000,18,5,İzmir,Standard,0
1018,29,98000,29,3,Ankara,Premium,0
1019,64,41200,4,7,Antalya,Standard,1
1020,35,76000,55,0,Istanbul,VIP,0
1021,27,31000,12,8,Bursa,Standard,1
1022,50,88900,37,1,İzmir,Premium,0
1023,43,67000,22,4,Ankara,Standard,0
1024,39,105000,60,0,Istanbul,VIP,0
1025,24,22000,5,9,Antalya,Standard,1
1026,5859000,46,2,İzmir,Premium,0
1027,33,84000,16,6,Bursa,Standard,1
1028,47,113000,30,1,Ankara,VIP,0
1029,26,36000,9,7,Istanbul,Standard,1
1030,61,72000,50,3,Antalya,Premium,0
1031,30,49000,14,5,İzmir,Standard,0
1032,52,96000,27,2,Bursa,Premium,0
1033,40,61000,38,0,Istanbul,VIP,0
1034,21,18000,3,8,Ankara,Standard,1
1035,55,83000,44,1,Antalya,Premium,0
1036,34,52000,20,6,İzmir,Standard,1
1037,48,108000,35,2,Bursa,VIP,0
1038,23,29000,7,9,Istanbul,Standard,1
1039,59,66000,41,3,Ankara,Premium,0
1040,37,91000,25,1,Antalya,VIP,0
1041,42,43000,17,4,İzmir,Standard,0
1042,51,77000,49,0,Bursa,Premium,0
1043,28,34000,10,7,Istanbul,Standard,1
1044,63,115000,58,1,Ankara,VIP,0
1045,36,58000,23,5,Antalya,Standard,0
1046,44,86000,31,2,İzmir,Premium,0
1047,19,16000,1,10,Bursa,Standard,1
1048,54,94000,43,0,Istanbul,VIP,0
1049,32,47000,13,6,Ankara,Standard,1
1050,46,69000,36,3,Antalya,Premium,0
1051,57,101000,47,1,İzmir,VIP,0
1052,25,25000,6,8,Bursa,Standard,1
1053,39,74000,28,2,Istanbul,Premium,0
1054,62,53000,52,4,Ankara,Standard,0
1055,29,87000,19,5,Antalya,Premium,0
1056,41,119000,34,0,İzmir,VIP,0
1057,50,38000,40,3,Bursa,Standard,0
1058,22,21000,4,9,Istanbul,Standard,1
1059,43,65000,26,1,Ankara,Premium,0
1060,35,93000,21,7,Antalya,Standard,1
1061,56,107000,45,0,İzmir,VIP,0
1062,31,42000,15,4,Bursa,Standard,0
1063,49,79000,38,2,Istanbul,Premium,0
1064,27,33000,8,8,Ankara,Standard,1
1065,60,112000,56,1,Antalya,VIP,0
1066,38,56000,24,5,İzmir,Standard,0
1067,45,89000,32,3,Bursa,Premium,0
1068,20,17000,2,9,Istanbul,Standard,1
1069,53,97000,48,0,Ankara,VIP,0
1070,33,50000,18,6,Antalya,Standard,1
1071,47,71000,30,2,İzmir,Premium,0
1072,26,28000,9,7,Bursa,Standard,1
1073,58,104000,54,1,Istanbul,VIP,0
1074,34,62000,22,3,Ankara,Standard,0
1075,41,85000,27,2,Antalya,Premium,0
1076,23,24000,5,8,İzmir,Standard,1
1077,52,116000,41,0,Bursa,VIP,0
1078,30,39000,12,6,Istanbul,Standard,1
1079,48,68000,37,4,Ankara,Premium,0
1080,36,92000,26,1,Antalya,VIP,0
1081,55,46000,43,2,İzmir,Standard,0
1082,28,81000,17,5,Bursa,Premium,0
1083,44,111000,33,0,Istanbul,VIP,0
1084,21,19000,3,9,Ankara,Standard,1
1085,59,75000,51,1,Antalya,Premium,0
1086,37,54000,20,7,İzmir,Standard,1
1087,50,99000,39,2,Bursa,VIP,0
1088,24,30000,7,8,Istanbul,Standard,1
1089,46,64000,29,3,Ankara,Standard,0
1090,39,88000,25,1,Antalya,Premium,0
1091,57,106000,47,0,İzmir,VIP,0
1092,32,44000,14,6,Bursa,Standard,1
1093,43,78000,31,2,Istanbul,Premium,0
1094,27,35000,10,7,Ankara,Standard,1
1095,61,114000,57,1,Antalya,VIP,0
1096,35,57000,22,4,İzmir,Standard,0
1097,49,90000,36,2,Bursa,Premium,0
1098,18,15000,1,10,Istanbul,Standard,1
1099,54,95000,42,0,Ankara,VIP,0
1100,33,48000,16,5,Antalya,Standard,1
